"ID","FULL-CHECKSUM","PART-CHECKSUM","VERSION","AUTHOR","COPYRIGHT","CREDIT","LICENSE","TITLE","SUBJECT","URL","FRAMEWORK","MODSERVER","FILESIZE","FILEDATE","DEPENDENCIES"
"pub.oggvorbis","49A48BA3","585B4BA5","1.08","-","Xiph.Org Foundation http //www.xiph.org/","Adapted for BlitzMax by Simon Armstrong","OggVorbis License","-","-","-","-","BRL","2019","1600611569",""
"pub.win32","D22C76B5","7DCF4E5D","1.16","Mark Sibly, Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","2778","1600611569",""
"pub.lua","047B56EE","19324FAD","1.28","Tecgraf,PUC-Rio","-","Adapted for BlitzMax by Thomas Mayer, Noel Cower, Andreas Rozek and Simon Armstrong","MIT License","-","-","-","-","BRL","49340","1600611569",""
"pub.libuuid","3EAA6A4A","B48C4E0A","1.03","-","Wrapper - 2015-2020 Bruce A Henderson","-","BSD","-","-","-","-","-","2769","1600611569",""
"pub.glew","8C7222EE","B33A47EC","1.10","Milan Ikits, Marcelo Magallon","Milan Ikits, Marcelo Magallon","-","SGI Free Software License B","-","-","-","-","BRL","1745","1600611569",""
"pub.opengles3","70FDB892","B1B343C3","1.00","-","-","-","MIT","-","-","-","-","-","1404","1600611569",""
"pub.opengl","98B1CF5D","0E55269F","1.02","-","-","-","SGI Free Software License B","-","-","-","-","BRL","48865","1600611569",""
"pub.nfd","7CBAC609","7CBAC609","1.00","Frogtoss Games","-","Adapted for BlitzMax by Bruce A Henderson","ZLib/PNG License","-","-","-","-","-","576","1600611569",""
"pub.freeaudio","0E565D0D","12C35AD6","1.23","Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","4903","1600611569",""
"pub.openal","F6803499","25254E18","1.03","-","-","-","-","-","-","-","-","BRL","87600","1600611569",""
"pub.glad","DFB6BF95","DFB6BF95","1.00","Milan Ikits, Marcelo Magallon","Milan Ikits, Marcelo Magallon","-","SGI Free Software License B","-","-","-","-","BRL","594","1600611569",""
"pub.libpng","60F7AB23","395248C6","1.10","Guy Eric Schalnat, Andreas Dilger, Glenn Randers-Pehrson, Others","-","Adapted for BlitzMax by Mark Sibly","ZLib/PNG License","-","-","-","-","BRL","5947","1600611569","Pub.ZLib"
"pub.opengles","3283CA8C","611E4085","1.00","-","-","-","MIT","-","-","-","-","-","1499","1600611569",""
"pub.xmmintrin","E177A9EA","DD4E634B","1.00","David JJ Camp","David JJ Camp","-","zlib/libpng","-","-","-","-","-","1243","1600611569",""
"pub.macos","2359B15D","2359B15D","1.01","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","561","1600611569",""
"pub.directx","0CB83C1A","0CB83C1A","1.07","Various","-","Adapted for BlitzMax by Mark Sibly","zlib/libpng","-","-","-","-","BRL","975","1600611569",""
"pub.freeprocess","21856EC5","BB0F5960","1.04","Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","FreeProcess multi platform external process control","BRL","6737","1600611569","brl.stream;brl.linkedlist;brl.filesystem"
"pub.joystick","7A5F53E2","6A584DA3","1.00","Bruce A Henderson","Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","8676","1600611569",""
"pub.vulkan","BF3A49B9","BF3A49B9","-","-","-","-","-","-","-","-","-","-","955","1600611569",""
"pub.stdc","4398A226","ED98534D","1.14","Various","-","Adapted for BlitzMax by Mark Sibly","zlib/libpng","-","-","-","-","BRL","13048","1600611569",""
"bmx.lexer","A99C2A0F","995B4237","2.0","Si Dunford","Si Dunford, July 2021, All Rights Reserved","-","MIT","-","-","-","-","-","1747","1643351185","BRL.Blitz;BRL.ObjectList;BRL.Map;BRL.Retro;Text.Regex"
"bmx.basic","E85A1D1F","E85A1D1F","-","-","-","-","-","-","-","-","-","-","86","1639422232",""
"bmx.behavior","-","-","-","-","-","-","-","-","-","-","-","-","-","-",""
"bmx.json","611ADD22","BD5E42E3","2.3","Si Dunford","Si Dunford, July 2021, All Rights Reserved","-","MIT","-","-","-","-","-","3832","1675290012","brl.objectlist"
"bmx.parser","DFABB678","B8473C9E","2.0","Si Dunford","Si Dunford, July 2021, All Rights Reserved","-","MIT","-","-","-","-","-","1401","1635490921","BRL.Reflection;bmx.lexer"
"bmx.observer","12799CDF","32703C29","1.6","Si Dunford","Si Dunford, Oct 2022, All Rights Reserved","-","MIT","-","-","-","-","-","5492","1672691139","BRL.Event;BRL.Map;BRL.LinkedList;BRL.Graphics;BRL.Threads"
"bmx.test","56F5365A","56F5365A","-","-","-","-","-","-","-","-","-","-","184","1671364520",""
